chunk_id,source,snippet,icd_codes
11,data/specialist_med_school.pdf,"competitive   specialties   you   can   pursue.   10.  Urology  Urologists  are  surgeons  of  the  urogenital  tract,  which  includes  the  kidneys,  ureters,  bladder,   prostate,   urethra,   testes,   and   more.   Urology   can   also   cover  ...",'N9912'; 'N368'; 'N3582'; 'N37'
12,data/specialist_med_school.pdf,"pre-op,   intra-op,   and   post-op.   They   ensure   patients   are   properly   sedated   and   comfortable   throughout   the   operation,   maintaining   stable   vitals,   blood   circulation,   and   an   open   airway.   12.  Radiology  Diagn...",'Z01811'; 'Y780'; 'Y6551'; 'Z01812'
13,data/specialist_med_school.pdf,"and   treat   disease.   While   most   diagnostic   radiologists   spend   their   time   in   reading   rooms,   interventional   radiologists   can   perform   several   procedures,   such   as   ablating   cancers   with   radiation-infused   par...",'Y842'; 'Z09'; 'K627'; 'Y781'
14,data/specialist_med_school.pdf,"examine   specimens   to   give   tissue   diagnoses   and   manage   all   of   the   clinical   labs   ordered   by   other   physicians,   from   microbiology   to   hematology   to   chemistry   and   everything   in   between.   14.  Emergency  ...",'Z01812'; 'R898'; 'R899'; 'R895'
15,data/specialist_med_school.pdf,"Emergency  medicine  physicians  treat  patients  with  urgent  healthcare  needs,  from  acute   conditions   like   heart   attacks   to   exacerbations   of   chronic   health   conditions   to   stabilizing   patients   involved   in   trauma.   ...",'R402121'; 'Y92532'; 'R402241'; 'V8601XA'
16,data/specialist_med_school.pdf,"all   trades,   master   of   one—emergencies.   15.  Critical  Care  Critical  care  physicians,  also  known  as  intensivists,  treat  patients  with  life-threatening  injuries   and   illnesses   in   the   ICU.   While   similar   to   emergenc...",'G7281'; 'Y92532'; 'R402121'; 'R402221'
17,data/specialist_med_school.pdf,"immediate   evaluation   and   stabilization.   16.  Preventive  Medicine  Preventive  medicine  doctors  apply  their  expertise  in  medicine,  as  well  as  the  social,  economic,   and   behavioral   sciences,   to   show   how   changes   to   ...",'Z91141'; 'F40232'; 'Z91A41'; 'Z91190'
18,data/specialist_med_school.pdf,"lowest   annual   salaries   at   around   $250K.   17.  Physical  Medicine  and  Rehabilitation  Physical  medicine  and  rehabilitation,  also  known  as  a  PM&R,  is  the  jack-of-all-trades  specialty   focusing   on   the   management   of   no...",'Y801'; 'R402351'; 'Z91190'; 'Y791'
19,data/specialist_med_school.pdf,"both   medical   and   procedural   treatments.   18.  Orthopedics  Orthopedics,  also  known  as  orthopedic  surgery,  focuses  on  injuries  and  diseases  of  the  body’s   musculoskeletal   system,   which   includes   a   person’s   bones,   jo...",'Z4789'; 'Y791'; 'T84498S'; 'T84498D'
20,data/specialist_med_school.pdf,"surgeons   at   around   $575K   a   year.   19.  Ophthalmology  Ophthalmology  deals  with  ocular  and  orbital  diseases,  which  is  anything  relating  to  the  eyes  and   immediate   surrounding   structures.   20.  Dermatology  Dermatologists...",'Z411'; 'H4930'; 'Y773'; 'H1789'
21,data/specialist_med_school.pdf,"eczema,   psoriasis,   and   skin   cancer.   A   dermatologist’s   higher   salary   coupled   with   the   better-than-average   work/life   balance   it   provides   make   it   a   highly   competitive   specialty.   The  following  10  specialti...",'L278'; 'L308'; 'L309'; 'L7681'
22,data/specialist_med_school.pdf,"Cardiology  is  the  most  competitive  and  highest  paying  of  all  of  the  internal  medicine  fellowships.   Cardiologists   treat   diseases   of   the   heart   and   vascular   system,   many   of   which   are   quite   common,   like   hea...",'I43'; 'I5089'; 'I5189'; 'I21A9'
23,data/specialist_med_school.pdf,"leading   cause   of   death   among   Americans.   22.  Gastroenterology  Gastroenterology  involves  everything  in  the  gastrointestinal  tract,  ranging  from  the  mouth  to   internal   organs   like   the   liver   and   pancreas   to   the  ...",'R99'; 'T478X1A'; 'T478X1D'; 'K634'
24,data/specialist_med_school.pdf,"bowel   disease,   and   hepatitis.   23.  Pulmonology  Pulmonary  medicine  focuses  on  the  respiratory  system  and  diseases  of  the  airway,  lungs,  and   chest   wall,   such   as   asthma,   chronic   obstructive   pulmonary   disease,   an...",'J8489'; 'I2789'; 'J4489'; 'I279'
25,data/specialist_med_school.pdf,"mechanical   ventilation   and   life   support.   24.  Hematology  Hematology  and  oncology  are  often  lumped  together  because  of  how  closely  related  they  are.   Hematology   focuses   on   diseases   of   the   blood,   like   anemias   ...",'J95861'; 'J95860'; 'N897'; 'J9562'
26,data/specialist_med_school.pdf,"that   can   arise   from   cancer   and   its   treatment.   26.  Rheumatology  Rheumatology  specializes  in  diseases  of  the  joints,  musculoskeletal  system,  and  connective   tissue.   Rheumatologists   see   a   wide   variety   of   diseas...",'M0569'; 'M0560'; 'M790'; 'M0688'
27,data/specialist_med_school.pdf,"musculoskeletal   diseases   like   osteoporosis.   27.  Endocrinology  Endocrinology  focuses  on  diseases  of  metabolism  and  the  endocrine  system,  which  is  made  up   of   the   pancreas,   thyroid   gland,   adrenal   glands,   hormones, ...",'M9088'; 'M9089'; 'M9080'; 'M8588'
28,data/specialist_med_school.pdf,"related   to   the   endocrine   system.   28.  Nephrology  Nephrology  focuses  solely  on  the  kidneys,  which  are  responsible  for  many  vital  and  complex   functions   in   the   body,   such   as   regulating   our   electrolytes   and   f...",'N1419'; 'N2883'; 'N048'; 'N2889'
29,data/specialist_med_school.pdf,"acid-base   disorders,   and   hypertension.   29.  Infectious  Diseases  The  infectious  disease  specialty  focuses  on  microorganisms  that  infect  humans,  including   bacteria,   viruses,   fungi,   and   parasites.   The   COVID-19   pandemi...",'B338'; 'B998'; 'A488'; 'B999'
30,data/specialist_med_school.pdf,"30.  Allergy/Immunology  Allergy  and  immunology,  often  referred  to  as  AI,  is  sometimes  lumped  together  with  infectious   diseases.   An   allergist/immunologist   cares   for   patients   who   have   misbehaving   immune   systems,   in...",'Z2804'; 'Z883'; 'Z887'; 'T7840XS'
31,data/specialist_med_school.pdf,"certain   types   of   autoimmune   conditions.   We’re  almost  there.  Lastly,  we’ll  cover  a  few  more  subspecializations  and  other  doctor  paths.   31.  Trauma  Surgery  Trauma  surgeons  primarily  deal  with  patients  who  have  sustain...",'G8911'; 'G8921'; 'T8133XS'; 'T8133XD'
32,data/specialist_med_school.pdf,"neck,   chest,   abdomen,   and   extremities.   32.  Cardiothoracic  Surgery  Cardiothoracic  surgeons  operate  within  the  chest  cavity.  This  includes  surgery  on  structures   such   as   the   heart,   aorta,   lungs,   mediastinum,   esoph...",'Z48812'; 'I97790'; 'I97791'; 'S2612XS'
33,data/specialist_med_school.pdf,treat   plaque   buildup   in   heart   vessels.   33.  Vascular  Surgery  Vascular  surgeons  manage  veins  and  arteries  in  every  part  of  the  body  except  the  brain  and   heart.   They   treat   blocked   carotid   arteries   in   the   n...,'T82391S'; 'T82391A'; 'T82391D'; 'Z95828'
34,data/specialist_med_school.pdf,"dysphoria   through   surgical   procedures.   Any   surgical   procedure   designed   to   help   alleviate   gender   dysphoria   can   be   considered   gender   surgery,   including   masculinization   and   feminization   of   the   face   and  ...",'F648'; 'F649'; 'Z411'; 'F642'
35,data/specialist_med_school.pdf,lengthening   and   shortening   procedures.   35.  Interventional  Cardiology  An  interventional  cardiologist  is  a  cardiologist  who  has  completed  additional  training  in  minimally   invasive   procedures   of   the   heart.   Unlike   sur...,'Z4509'; 'Z45018'; 'Y840'; 'I97111'
36,data/specialist_med_school.pdf,"contrast   dye,   and   specialized   equipment.   36.  Reproductive  Endocrinology  Reproductive  endocrinology  and  infertility,  or  REI,  is  focused  on  helping  people  get  pregnant   who   are   unable   to   do   so   on   their   own.   R...",'Z3162'; 'N979'; 'N978'; 'Z3184'
37,data/specialist_med_school.pdf,37.  Neonatology  Neonatology  is  a  subspecialty  of  pediatrics  that  focuses  on  newborns.  They  are  the  ones  called   in   when   an   infant   is   born   prematurely   or   with   an   illness   or   abnormality   that   needs   immediat...,'P0821'; 'P007'; 'P009'; 'Z059'
38,data/specialist_med_school.pdf,"and   beyond.   They   perform   intubations   for   children   needing   ventilatory   support,   place   arterial   catheters   for   children   needing   blood   pressure   monitoring,   insert   venous   catheters   for   the   safe   delivery   ...",'Q6689'; 'T83092S'; 'Q7230'; 'Q666'
39,data/specialist_med_school.pdf,"They   use   principles   from   sports   medicine,   biomechanics,   wound   healing,   and   various   surgical   techniques   to   treat   anything   from   discomfort   and   pain   to   discoloration   or   odor.   40.  Sports  Medicine  Doctor ...",'Z4789'; 'Y791'; 'Y801'; 'Y793'
40,data/specialist_med_school.pdf,orthopedic   surgeons   but   not   requiring   surgical   intervention.   They   can   provide   a   full   spectrum   of   care   for   anyone   who   wants   to   be   active.   41.  Military  Doctor  Military  physicians  must  be  specialists  i...,'Y66'; 'Z4789'; 'T889XXS'; 'T889XXA'
41,data/specialist_med_school.pdf,"typically   reserved   for   a   neurosurgeon,   otolaryngologist,   or   urologist.   42.  Global  Health  Doctor  Global  health  doctors  help  spread  medicine  and  surgery  to  developing  countries  and   underserved   populations.   There   a...",'Y66'; 'T889XXS'; 'T888XXA'; 'Y92531'
42,data/specialist_med_school.pdf,"partnering   with   local   physicians   and   advocates   to   empower   those   populations.     43.  Neurosurgery  First  up  is  neurosurgery,  which  deals  with  the  surgical  treatment  of  disorders  that  affect  any  part   of   the   nerv...",'Z48811'; 'Z4542'; 'G9781'; 'G9751'
43,data/specialist_med_school.pdf,"hours,   and   poor   work-life   balance.   Note   that   neurosurgery   can   be   further   broken   down   into   endovascular   neurosurgery,   pediatric   neurosurgery,   and   more,   but   we’ll   save   those   for   another   video.   44.  ...",'Z4789'; 'T888XXD'; 'T889XXS'; 'T888XXA'
44,data/specialist_med_school.pdf,"Next,  orthopedic  surgery  deals  with  conditions  involving  the  musculoskeletal  system.  Orthopedic   surgeons   use   both   surgical   and   nonsurgical   means   to   treat   musculoskeletal   trauma,   sports   injuries,   spine   diseases,...",'M9689'; 'T84498S'; 'Y791'; 'Z4782'
45,data/specialist_med_school.pdf,"foot   and   ankle,   and   more,   but   we’ll   save   those   for   another   video   too.   45.  Thoracic  Surgery  Thoracic  surgery  involves  the  surgical  treatment  of  organs  inside  the  thoracic  cavity,  such  as  the   heart,   lungs,...",'Z5332'; 'I7101'; 'I7103'; 'S27813S'
46,data/specialist_med_school.pdf,"colon.   47.  Endocrine  Surgery  Endocrine  surgery  involves  the  surgical  treatment  of  the  endocrine  glands,  including  the  thyroid   gland,   the   adrenal   glands,   the   parathyroid   glands,   glands   of   the   endocrine   pancreas...",'K91871'; 'Z48815'; 'S383XXS'; 'K91873'
47,data/specialist_med_school.pdf,"diseases   of   the   liver,   biliary   system,   and   pancreas.   As   the   long   but   simple   name   suggests   hepato   stands   for   liver,   pancreato   stands   for   pancreas,   and   biliary   stands   for   the   biliary   system.   4...",'Z526'; 'Z944'; 'T8640'; 'T8643'
48,data/specialist_med_school.pdf,"more.   50.  Female  Urologist  Female  Urology  is  a  subspecialty  of  urology.  Female  urology  cares  for  the  treatment  of   conditions   like   urinary   incontinence,   overactive   bladder,   and   pelvic   organ   prolapse.   51.  Pediat...",'N9912'; 'N3582'; 'N3592'; 'N3512'
49,data/specialist_med_school.pdf,"adults.   52.  Fetal  Surgery  Fetal  surgery  focuses  on  fetuses  specifically,  which  can  include  treating  congenital   abnormalities   in   fetuses   who   are   still   in   the   pregnant   uterus.   53.  Surgical  Oncology  Surgical  onco...",'O35DXX9'; 'O35EXX9'; 'O35DXX2'; 'O357XX9'
50,data/specialist_med_school.pdf,"54.  Breast  Oncology  Breast  oncology  is  the  treatment  of  breast  cancer.  It  is  classified  as  a  surgical  subspecialty  for   treatment   that   may   involve   the   surgical   removal   of   breast   tumors,   lymph   nodes,   or   ent...",'D0580'; 'Z1239'; 'D0590'; 'C50919'
51,data/specialist_med_school.pdf,"surgery,   only   any   necessary   removal.   55.  Hair  Transplant  Surgeon  Hair  transplant  surgery  focuses  on  restoring  someone’s  hair  by  taking  follicles  from  parts  of  the   scalp   where   hair   is   growing   and   grafting   it...",'Z9885'; 'W4901XS'; 'T868403'; 'T494X6S'
52,data/specialist_med_school.pdf,"to   areas   that   are   thinning   or   bald.   Plastic  Surgery  has  its  own  set  of  subspecialty  fellowship  options.   56.  Microsurgery  Microsurgery  focuses  on  operating  on  and  repairing  nerves,  small  blood  vessels,  and  tubes ...",'Z428'; 'Z411'; 'Y811'; 'H95123'
53,data/specialist_med_school.pdf,as   these   physicians   intricately   move   nerves   and   tissues   using   sophisticated   microscopes   for   procedures   like   reanimating   a   face   with   Bell’s   Palsy.   57.  Hand  Surgery  Hand  surgery  is  focused  on  the  diagnos...,'M88849'; 'T84220S'; 'Z96692'; 'Z96691'
54,data/specialist_med_school.pdf,"or   trauma   that   affect   the   hand   and   wrist.   Most   of   the   time,   hand   surgery   is   a   fellowship   that   follows   orthopedics   or   plastics.   However,   occasionally,   hand   surgery   follows   general   surgery.   The ...",'Z428'; 'S66822S'; 'S66821S'; 'S66528S'
55,data/specialist_med_school.pdf,"although   neither   does   so   exclusively.   58.  Craniofacial  Surgery  Craniofacial  surgery  involves  the  surgical  correction  of  extreme  facial  deformities,  facial  clefts,   and   skull   abnormalities.   59.  Aesthetic  Surgery  Aesth...",'Z411'; 'Q7508'; 'Q75058'; 'Q674'
56,data/specialist_med_school.pdf,"important   to   note   a   board-certified   plastic   surgeon   will   have   thorough   and   complete   training,   whereas   a   board-certified   “cosmetic   surgeon”   likely   specialized   in   something   unrelated   and   chose   a   cosme...",'N651'; 'Z421'; 'N650'; 'Z45819'
57,data/specialist_med_school.pdf,"breast,   most   often   due   to   cancer.   We’re  through  surgery  and  on  to  pathology....",'N6489'; 'S20151S'; 'N649'; 'S20152S'
58,data/specialist_med_school.pdf,61.  Forensic  Pathology  Forensic  pathology  focuses  on  determining  the  cause  and  possible  manner  of  death  by   examining   a   corpse   through   autopsies   and   postmortem   examinations.   62.  Genetic  Pathology  Genetic  pathology ...,'R898'; 'R899'; 'Z1279'; 'Z1371'
59,data/specialist_med_school.pdf,"deal   with   rare   conditions   and   must   answer   complex   medical   questions.   63.  Molecular  Pathology  Molecular  pathology  focuses  on  the  study  and  diagnosis  of  disease  through  the  examination  of   molecules,   including   D...",'G998'; 'G3289'; 'G611'; 'G63'
60,data/specialist_med_school.pdf,small   surgical   biopsies   or   whole-body   autopsies.   Radiology  is  most  commonly  broken  down  into  diagnostic  or  interventional  radiology.   65.  Diagnostic  Radiology  Diagnostic  radiology  involves  using  a  range  of  imaging  pr...,'R938'; 'R9389'; 'R9349'; 'Y780'
61,data/specialist_med_school.pdf,"images   to   diagnose   illness   and   injury.   66.  Interventional  Radiology  Interventional  radiology  is  focused  on  diagnosing  and  treating  illness  with  minimally-invasive   procedures,   such   as   inserting   catheters   or   wires...",'Y781'; 'Y780'; 'Y788'; 'Y783'
62,data/specialist_med_school.pdf,"imaging,   or   MRIs,   and   ultrasounds.   67.  Nuclear  Radiology  Nuclear  radiology,  sometimes  called  nuclear  medicine  radiology,  involves  using  radioactive   substances   and   techniques   like   scintigraphy   to   examine,   diagnose...",'R938'; 'R9389'; 'R93819'; 'R9349'
63,data/specialist_med_school.pdf,"chronic   or   life-threatening   conditions.   Next,  let’s  look  at  the  subspecialties  of  psychiatry.   68.  Child  Psychiatry  Child  psychiatry  focuses  on  the  diagnosis,  treatment,  and  prevention  of  mental  disorders  in   children,...",'T7632XS'; 'F989'; 'F988'; 'F948'
64,data/specialist_med_school.pdf,"Geriatric  psychiatry  is  at  the  other  end  of  the  age  spectrum.  It  is  focused  on  the  study,   prevention,   and   treatment   of   neurodegenerative   diseases,   cognitive   impairment,   and   mental   disorders   in   the   elderly. ...",'F0280'; 'F0282'; 'F02B2'; 'F02C0'
65,data/specialist_med_school.pdf,"of   harm   to   others   as   well   as   the   patients   themselves.   71.  Addiction  Psychiatry  Addiction  psychiatry  focuses  on  the  evaluation,  diagnosis,  and  treatment  of  people  who  have   one   or   more   disorders   related   to...",'F15159'; 'F1514'; 'Z6982'; 'F19180'
66,data/specialist_med_school.pdf,"suffering   from   mental   disorders—both   disorders   that   occur   in   civilian   life   as   well   as   those   caused   by   warfare   and   issues   related   to   military   life.   Lastly,  here  are  some  miscellaneous  medical  career ...",'G7281'; 'G6281'; 'V97811S'; 'Y38892S'
67,data/specialist_med_school.pdf,This   often   includes   trauma   victims   and   those   who   have   multiple   organ   dysfunction.   74.  Hospice  and  Palliative  Medicine  Hospice  and  palliative  care  doctors  treat  patients  who  only  have  a  short  time  left  to  li...,'Z515'; 'Z48288'; 'R402121'; 'T888XXD'
68,data/specialist_med_school.pdf,"for   solutions   to   cure   a   patient.   75.  Geriatric  Medicine  Geriatric  medicine  focuses  on  the  unique  medical  needs  of  elderly  patients,  including  long-term   conditions   and   vulnerabilities,   like   risk   of   falls.   Thi...",'R4181'; 'Z91130'; 'Z79899'; 'O09521'
69,data/specialist_med_school.pdf,"increasing   aging   population   in   the   US.   76.  Medical  Toxicology  Medical  toxicologists  deal  with  complications  from  exposure  to  drugs,  chemicals,  and  biological   and   radiological   agents.   This   can   include   chemical  ...",'Z575'; 'Z1388'; 'Z77098'; 'Y648'
70,data/specialist_med_school.pdf,"overdoses,   and   industrial   accidents.   77.  Undersea  and  Hyperbaric  Medicine  Undersea  and  hyperbaric  medicine  focuses  on  health  concerns  from  exposure  to  environments   with   increased   ambient   pressure,   such   as   in   un...",'Y633'; 'Y632'; 'W908XXS'; 'T415X6A'
71,data/specialist_med_school.pdf,"Radiation  oncology  deals  with  the  treatment  of  a  number  of  different  cancers  by  using  high   energy   particles   and   waves,   like   X-rays,   to   shrink   tumors   and   kill   cancer   cells.   79.  Cancer  Immunology  Cancer  imm...",'Z510'; 'Z5112'; 'C888'; 'C8881'
72,data/specialist_med_school.pdf,"outcomes   for   certain   kinds   of   cancer,   such   as   kidney   cancer   and   melanoma.   80.  Longevity  Medicine  Longevity  medicine  focuses  on  helping  patients  optimize  their  health  and  wellbeing  as  they  age   to   achieve   a...",'Z79899'; 'Z79632'; 'D471'; 'R99'
73,data/specialist_med_school.pdf,"diseases.   Longevity   medicine   is   a   new   and   emerging   profession   that’s   grown   in   popularity   over   recent   years   with   the   rise   of   medical   and   science   celebrities   like   doctors   David   Sinclair,   Peter   A...",'Z79899'; 'D471'; 'R99'; 'Z9289'
74,data/specialist_med_school.pdf,"care   doctors   who   work   directly   with   patients   on   prevention   methods,   such   as   improving   diet,   sleep   quality,   and   stress   levels,   implementing   adequate   physical   activity,   and   watching   for   early   warnin...",'Z91A4'; 'Z91A48'; 'Z91A9'; 'F40232'
75,data/specialist_med_school.pdf,medicine   as   they   share   similar   goals.   82.  Medical  Scientist  Medical  science  is  dedicated  to  conducting  research  that  enhances  our  understanding  of  human   health   and   diseases.   Medical   scientists   explore   the   ca...,'F40232'; 'Z006'; 'Z9289'; 'Y66'
76,data/specialist_med_school.pdf,"treatments   and   preventive   measures.   83.  Sleep  Medicine  Sleep  medicine  focuses  on  the  study,  diagnosis,  and  therapy  of  sleep  disturbances  and   disorders,   such   as   sleep   apnea,   narcolepsy,   night   terrors,   and   ins...",'G478'; 'F518'; 'G479'; 'F15982'
77,data/specialist_med_school.pdf,"our   overall   health   and   sleep   quality.   84.  Aerospace  Medicine  Aerospace  medicine,  sometimes  called  flight  medicine,  focuses  on  the  research,  clinical  care,   and   support   of   pilots,   aircrews,   and   astronauts   of   ...",'V97810S'; 'V97811S'; 'F40243'; 'Y92813'
78,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,ABMS  GUIDE TO MEDICAL SPECIALTIES 2022...,'T889XXS'; 'R402363'; 'T888XXS'; 'R402364'
79,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,"1abms.org  ABMS GUIDE TO MEDICAL SPECIALTIES 353 North Clark Street, Suite 1400   Chicago, IL 60654  |  (312) 436-2600 2022 Edition ABMS Board   Certification Report   This annual publication provides  information about board certification  and inclu...",'Z764'; 'Z0279'; 'Z7185'; 'Z741'
80,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,"with the 24 certifying Member Boards of  ABMS. Learn about the Member Boards’  latest programs, initiatives, and innovations  in board certification and hear from guest  columnists. Visit the ABMS website to  subscribe. ABMS PUBLICATIONS...",'Z764'; 'Z712'; 'Y93A5'; 'Z0289'
81,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,"3abms.org  © 2022 American Board of Medical Specialties ®. All rights reserved.  Whenever this information is used in part or in whole, or when  referencing it as part of a report or article, we request that  acknowledgment be given to the American B...",'Z764'; 'T889XXS'; 'Y808'; 'T888XXS'
82,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,is offered by the ABMS Member Boards. A number of links within the booklet  help connect to: - Particular sections of the booklet  - Specific pages of the ABMS website  -  Websites of the ABMS Member  Boards and Associate Members TABLE OF CONTENTS A ...,'Z764'; 'R402362'; 'Z029'; 'R402363'
83,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,offered by the ABMS Member Boards     At-a-glance chart . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 12 Allergy and Immunology  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 15 Anesthesiology  ....,'S36598S'; 'K51419'; 'K5140'; 'K9181'
84,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,Dermatology  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 19 Emergency Medicine  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 20 Family Medicine .  . ...,'L278'; 'L309'; 'L279'; 'L538'
85,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,Medical Genetics and Genomics .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 29 Neurological Surgery .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 31 Nuclear Medicine .  .  .  .  .  ....,'Q998'; 'F78A9'; 'G3189'; 'T888XXS'
86,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,Ophthalmology .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 35 Orthopaedic Surgery .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 36 Otolaryngology – Head a...,'H95129'; 'H95123'; 'H95122'; 'H95121'
87,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,Pediatrics  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 44 Physical Medicine and Rehabilitation .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 49 Plastic Surgery   .  . ...,'Z428'; 'Y818'; 'Y811'; 'T889XXS'
88,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,Psychiatry and Neurology   .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .56 Radiology .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 61 Surgery (General Surg...,'T888XXA'; 'T889XXS'; 'T888XXS'; 'T888XXD'
89,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,Urology .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 69...,'Z87448'; 'N35811'; 'N35819'; 'N99110'
90,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,"4 5abms.org  A commitment to We believe that the best care is provided by  physician specialists who are board certified.  ABMS is focused on improving the health of  individuals, their families, and communities by  elevating the discipline of specia...",'Z764'; 'Y66'; 'Z7185'; 'Z418'
91,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,"physician’s promise to the public for providing  high-quality health care. The process of ABMS board certification  involves ongoing assessment to encourage  continuous learning. It calls on physicians  to demonstrate their knowledge, skill, and  pro...",'Z712'; 'Z764'; 'Z0279'; 'Z0289'
92,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,"higher — always learning, researching   and innovating to enhance the care   they provide. BETTER   PATIENT CARE GOAL: SUBSPECIALTY  AREAS 88 MEMBER   BOARDS 24 SPECIALTY   AREAS 40 BOARD CERTIFIED   SPECIALISTS 940K+...",'Z764'; 'R402253'; 'Z759'; 'Y66'
93,data/ABMS-Guide-to-Medical-Specialties-2022.pdf,"6 7abms.org  Better care is built on  The best care is built on higher standards of practice,  supporting physician specialists in striving for  professional excellence. Our standards are developed  by physicians to be specialty-specific, going beyon...",'Z764'; 'Y66'; 'Z418'; 'Z006'
